Helpful Votes,Review Body,Review Year,Review Headline,Star Rating
0.0,9 year old daughter loves it.,08/27/2015 0:00,Five Stars,5.0
0.0,Patterson is a effective writer- Has the ability to keep you spellbound-  This on keep you wanting to keep on reading to see what happens- Go  for it-,03/30/2013 0:00,Good Book,5.0
0.0,"This book was entertaining but not my favorite by Stephanie Bond.  I noticed some typos throughout the book, which really surprised me.  Overall, the story line was great, the charaters were interesting, and I enjoyed the read.  I cannot help feeling that this book was like a Golden Girls episode on wheels.  I laughed and cried (well almost) and I recommend this book to females over the age of 18.",12/29/2012 0:00,Good Read,4.0
1.0,"Eastern United States continues to develop the elements of the missing persons profile from the first book (Missing 411) Western United states. These are the states and areas of our country that I am more familiar with (one of them being my home state). Reading the cases in this book does not get get any easier, frustrating, shocking, frightening & heartbreaking are all appropriate words for the cases presented in this book (and it's predecessor, Western). More common case factors are uncovered and more questions raised (my biggest personal question is what does the FBI know about some of these cases and how far does their information go?). Had to take my time with this one, the mixture of tragedy and detail of the cases adds up to a slower mental mastication of the facts, lots of food for thought. Great Buy.",08/28/2015 0:00,Great Buy.,5.0
0.0,Rating 3.5<br />Since Pendergast found out his wife was murdered he teams up with Junson his brother in law.  Junson is far from helpful in the initial search for Helen's killer but turns out to comes through in the clutch.,08/29/2015 0:00,Pendergast's problems continue,3.0
0.0,Sent as a gift. I have not read it myself.,08/30/2015 0:00,Grade: Imcomplete,5.0
0.0,It was an interesting book,08/26/2015 0:00,Five Stars,5.0
3.0,"It is not the funniest romp available and reads a little like a thinly stretched out good premise. However, in these shallow days with little disposition for debate, cynicism is often the only appropriate rhetoric tool. So, if you're tired of trying to explain why you're an atheist, buy the FSM Gospel and charge your opponent as a Atheist himself!",12/28/2009 0:00,Fighting blind faith with blind silliness (or cynicism),5.0
,I had already read Ann Patchett's \Truth and Beauty,,but also developed more sympathy for Lucy and more understanding for her situation.At the age of nine,
7.0,"I was lucky enough to get my hands on this book directly from the publisher shortly after it was released.  I could not put the book down.  This book is one of those stories that could not possibly happen in real life, but did.  A special needs student earns a spot on the varsity cross country team at one of the top high school teams in the state.  The journey from a skeptical coach and reluctant team to one of the most beloved figures in the school as they work their way up the state rankings is truly inspirational.  Teamwork, dedication, camaraderie, and even some entertaining stories about running are woven in to this great book.  Fantastic!",08/31/2015 0:00,"A page turner, and tear jerker!",5.0
7.0,"I love Lynn Ross's book about hand weaving. After picking it up and putting it down, I find I have to come back to it again and again just to remember why these silly threads mean something more to me than just bits and pieces of flotsam. Something solid weighs in among the words and illustrations of her book. It is almost as if each thread tells a story and each piece of weaving has a family history. I appreciate the fact that I may never be able to make anything as beautiful as a piece of clothing, but even a simple wall hanging encourages me to remember my OWN story in thread. Thank you, Lynn Ross, for encouraging your readers and students to tell our own tales.",08/30/2015 0:00,Threading Tales,5.0
0.0,Beautifully written cookbook by survivors of war .,08/30/2015 0:00,Five Stars,5.0
,"As is always the case with the fiction of Lehane, there is some remarkable writing in Live by Night.  The reader follows Joe Coughlin from Boston to Florida as he expands a criminal empire and laments what he believes is a lost love.  The downer for me was the ending, which lacked the payoff of a Lehane novel.  It felt forced, flat, and \token-ized",," but it just didn't hit me like much of his other work.""",
,"For many readers and reviewers thus far, it seems one of Allegiant's mistakes lies in its realism. I'm not bothered by the absolutely brutal realism that Roth gives us in the ending of this book, but I am bothered by the context it's been thrown into... and the places where that realism is abandoned, where the plot loses its sense in an effort to resolve what the author has deemed not worthy of properly solving. With the dual perspectives, we are given dual endings. One half serves as shock value, and what many are referring to as \preachy\"" as Roth hammers in the themes she has stretched over the trilogy. The other half serves as an oversimplified (to the point of being illogical) solution to one of the problems brought up in the series. It almost felt like the one half was intended to be so shocking that Roth expected readers to not realize that the other bit of what was going on really made no sense at all.In Divergent",,which eventually led to the entirety of the book not making much sense,15.0
0.0,"My biggest quibble is that Weiss refused to use semicolons between independent clauses.  That's not an option; that's a grammatical requirement.  There were other grammatical slips throughout.That aside, he has done an invaluable public service by thoroughly investigating something the Peace Corps, both of today and of the 1970s, wanted the whole world to forget: when a sex-starved, psychotic volunteer killed another volunteer in 1976 in Tonga, the Corps hushed it up, subverted local justice, and failed to make arrangements to incarcerate the murderer -- freeing him to a long, accomplished career back in his hometown.  The book draws infuriating portraits of the incompetent and misguided Peace Corps officials who essentially killed Deborah Gardner a second time by rallying around her murderer.  Be most suspicious of the most self-righteous agencies.  They have the most to hide.",01/14/2008 0:00,"Infuriating story, needed copy editing",4.0
0.0,"This is my favorite end-of-the-world story, even though it's been overtaken by events.  The Solar Neutrino Scandal is now resolved, but even so it's a wonderful confection of a little fictional science, much more not-known-to-be-impossible imaginings, and (in my opinion) better work on character development than was typical of ACC.  I'm sorry there was no sequel.",02/19/2012 0:00,A little gem in the great Clarke tradition.,5.0
0.0,I dragged and had no twists and turns. The characters were o.k. but nothing special. I finished it but it was hard to keep going.,02/02/2013 0:00,52 Pickup,2.0
0.0,A okay,08/29/2015 0:00,Five Stars,5.0
2.0,"Dearest Andrea, thank you for sharing your experience, strength and hope in this simple book... It was very refreshing, empowering and encouraging reading. I hope you reach those who are still hurting in the darkness with your powerful words. Thank you for starting the project, and most importantly, for finishing it! I'm grateful for your friendship.",08/29/2015 0:00,"Dearest Andrea, thank you for sharing your experience, ...",5.0
2.0,"I really liked the \Interpreter of Maladies\"" and did not like this book so much. I am a south asian living in the States and was sorry to see the book typecasting all indians in a particular light. There was nothing new for me.A typical south asian story ....""",08/10/2004 0:00,Biased and Stereotyped ?,3.0
0.0,We are new to canning this year due to a very productive garden!  This book has simple step by step instructions and pictures.  Helped us feel like a pro from day one!,08/28/2015 0:00,Helped us feel like a pro from day one!,5.0
,\We had learnt of our destination with relief.  Auschwitz: a name without significance for us at the time,,emphasizing the power of words both thematically and stylistically. Levi is only twenty-five when he enters the camp,
,"Garth Nix has really become the premiere young adult author extraordinaire of the dark fantasy novel.  If you are looking for a writer who writes books containing happy unicorns and cute dancing sprites, Nix is not for you.  In this, his first teen novel (amazingly good on that level alone) he creates a world of death, destruction, death, decay, and a little more death.  His heroine constantly walks in the lands of the dead, fights the moral equivalent of zombies left and right, and is gratifyingly competent.  Nix is that rare male author that is just as comfortable penning gruesome fight sequences as he is the intricacies of female menstruation.  If you're looking for a kickin' gal in a wholly original fantasy, \Sabriel\"" is the book to look up.The only daughter of her father",,the Abhorsen is the mage that fights continually to keep the creatures of the dead out of the lands of the living.  With the realization that her father needs her help,
1.0,"My husband liked the book.  The kindle was his birthday gift so he downloaded anything free to read.  This was one of his choices.  So far, he has enjoyed most of his books.",10/23/2011 0:00,book,5.0
0.0,This was a very complex and interesting novel. I personally loved it but I don't think it is for everyone.,01/06/2014 0:00,Interesting,5.0
0.0,"Anthony boils the sales process down to a lifestyle.  Executable by anyone who is motivated to succeed.  Right between the eyes advice that can help anyone focus on their sales goals.  What is nice is that it comes from a guy who had humble beginnings and learned sometimes the hard way what matters in sales and life in general.  Passion, Dedication and Courage and the road to mastering your SAM is what the book is all about.  Written as a story, it is a quick and entertaining read.  However, you'll want to keep it so you can use it as a reference book.",08/29/2015 0:00,"Worth the investment in time!  Read it, then live it.",5.0
,"Fans have been looking forward to this one for a LONG time. A Dance with Dragons completes the story begun six years ago, when A Feast for Crows was published in October, 2005. In Feast, fans were given the full story, but only for half the characters. Fan favorites like Tyrion Lannister, Jon Snow and Daenarys Targaryen were noticeably missing from the chapters of the book. Martin's now-infamous claim that Dance would be finished within a year ended up haunting him relentlessly until the day that A Dance with Dragons fell into everyone's eager hands. A Dance with Dragons not only completes the story of that missing half, but also continues the story forward. In fact, Dance is the largest book in the series, weighing in at 1,040 pages.So how does this fifth entry in the Song of Ice and Fire series match up to the rest? Read on to find out.Note: It's presumed you've read the series up to the ending of A Feast for Crows, so if you haven't, don't read on.The Prologue certainly draws comparisons to that in A Game of Thrones, taking place far north of the Wall, and giving us glimpses of the White Walkers. This serves to continue the inexorable march of the undead towards the rest of Westeros. Martin is most certainly taking his time drawing out the inevitable confrontation with the Others, however, and some readers may wonder if he'll ever be able to complete this saga, much less in the two books he claims remain. Nevertheless, it's a promising start to the novel.TYRION LANNISTERFinally, after ten long years, fans get new Tyrion material. His story begins perfectly in Dance and we see the Imp wallowing in self-pity and taking careless chances, his life no longer important to him. It doesn't take long for that attitude to change, with the help of some unlikely allies, and rather unexpected revelations.Tyrion sees his ups and downs in this novel, and his luck continues to hold, especially near the end. He's matched up with another dwarf, but where this pairing is going is hard to say. Tyrion's line that he has a heart for \cripples",,but he's still very much Tyrion Lannister,
0.0,"This review is written for Winds of War, and War and Remembrance together. Although two separate books, they are really two halves of the same story, and really need to be considered together. These books may not be Mr. Wouk's finest books, but they are his finest story, and most encompassing work.These books really can be read for three different reasons: First, as a story of a family, and to effects of World War II. Second, as a war story of Sailors in World War II. Third, as a comprehensive history of World War II.This book is a story of a family. It tells of a husband and wife, their three sons, and their daughter, as well as all the love interests involved with these characters. Throughout the two books, we follow the all of these characters, as they interact with each other, and those around us. We get to see the effects of the war on their personal and professional lives, as well as the effects of the war on their relationships.This book is a war story. Many of the characters are directly involved in the war was U.S. Navy Sailors in the war. Most of those characters that are not serving in the military, are still directly involved in the war as diplomats, war correspondents, and other direct or indirect participation. We see many of the major battles, as well as some of the inner workings of politicians and diplomats.Finally, this book is a comprehensive history of World War II. Mr. Wouk puts a comprehensive treatise on World War II from the perspective of a German military officer between narrative chapters. Additionally, because many of the character are involved with the politics and diplomacy of the war, we get a view of the way it affected society as a whole, and the purpose of individual battles.Finally, one last note of caution. This book is a powerful book. It takes place in World War II, some of these characters are Jewish, some of these characters are serving in the military. Some of these chapters will be sad. This book is still amazing and worth reading, but should be approached with this in mind.",07/01/2013 0:00,Comprehensive World War II Story,5.0
4.0,"Wonderful quality and service on a hard to find book which sells for much, much more on other sites",06/27/2009 0:00,wonderful quality and service on a rare book,5.0
0.0,Terrific idea.  Gives you something to practice and wonderful for newbies to w/c.  Can be used  as homework assignment for the young.  Idea is to make it fun.,10/23/2013 0:00,Great Book,5.0
0.0,Bought as a gift for my husband. He loved it and now he wants to order the rest of the comics!,08/29/2015 0:00,He loved it and now he wants to order the rest ...,5.0
3.0,"So I've been playing piano for about a year now and was interested in getting into jazz and blues. So i ordered this book and the other one of blues. I was disappointed by how dumbed down the songs were, very simple and not what expected. But the songs are still fun to play but i think this book is a great first or second book for the beginning pianist.",08/26/2015 0:00,Very simplified songs,4.0
0.0,Very funny and helpful read!  Would recommend it to anyone who has gone through Financial Peace University or who is considering taking the class.  Useful suggestions and reminders of why we love Dave!,08/29/2015 0:00,Very funny and helpful read,5.0
0.0,My purchase arrived before the schedule delivery date. The book came as described. I am enjoying the fascinating read.,08/30/2015 0:00,Three Stars,3.0
1.0,"Marcia Willett's books about family, friendships and love. The settings in Cornwall make the reader want to visit there.",08/27/2015 0:00,friendships and love. The settings in Cornwall make the reader want ...,5.0
,"I wasn't pleased when I flipped through Monster and noticed it was written like a film script. But, it had lots of awards tacked to the front cover so I began reading. While it isn't the most passionate young adult read, it's one of those stories that needs to be told so as to reach the right audience.The script format allows it to be read quickly, skipping over the \details\"" that can bore a reluctant reader. It also allows Steve to tell his side of the story - from his life",,giving him a chance to tell his story with some actual distance. I think this is very much how teens approach reality - through some sort of lens.It seems that Steve was involved in the crime without understanding how he could possibly be involved in a crime - again,0.0
0.0,This is a great book. Written in the language of a bajan. Bajans love to tell a story using many words even if it can be told using 10. Great story.,12/29/2009 0:00,Very very very good,5.0
0.0,"Finely woven themes in a town of Sweden. A myriad of events, relationships and problems which are brought together well to make an interesting read throughout.  I do recommend this book and look forward to more of the same.",06/06/2014 0:00,A tapestry from Sweden,4.0
1.0,"If you own a local business, this book is a must read",08/30/2015 0:00,A local business owners must read,5.0
206.0,"Built To Last was an extremely thought provoking and eye opening read. Built To Last studies some of the most successful (called the leading companies) and the following companies (non-leaders in an industry). The research for this book produced surprising results for the authors (and the reader). The authors found the there were at least twelve commonly held businesses beliefs that their research refuted. In essence these dearly held business beliefs were myths.Here is a look at each of the twelve myths and a sound byte describing each:1. It takes a great idea to start a company Few visionary companies started with a great idea. Many companies started without any specific ideas (HP and Sony) and others were outright failures (3M). In fact a great idea may lead to road of not being able to adapt.2. Visionary companies require great and charismatic visionary leaders A charismatic leader in not required and, in fact, can be detrimental to a company's long-term prospects.3. The most successful companies exist first and foremost to maximize profits Not true. Profit counts, but is usually not at the top of the list.4. Visionary companies share a common subset of &quot;correct&quot; core values They all have core values, but each is unique to a company and it's culture.5. The only constant is change The core values can and often do last more then 100 years.6. Blue-chip companies play it safe They take significant bet the company risks.7. Visionary companies are great places to work, for everyone These companies are only great places to work if you fit the vision and culture.8. Highly successful companies make some of their best moves by brilliant and complex strategic planning. They actually try a bunch of stuff and keep what works.9. Companies should hire outside CEOs to stimulate fundamental change Most have had their change agents come from within the system.10. The most successful companies focus primarily on beating the competition. They focus on beating themselves.11. You can't have your cake and eat it too. Decisions don't have to either or, but can be boths.12. Companies become visionary primarily through &quot;vision statements&quot;. Vision is not a statement it is the way you do business.I would recommend this book to anyone engaged in developing and running a business at any level. If you want to design, build and run a lasting enterprise this book has some ideas and insights worth exploring.",03/15/2002 0:00,How to build it to last,5.0
,"The hierarchy problem has for quite some time been a burning issue in elementary particle physics. There have been many proposals for solving this problem, some of which are quite exotic if viewed from a commonsense viewpoint. But the interactions of elementary particles are described by quantum physics, the latter of which has never been a theory that conformed to any notion of commonsense. Therefore one should not discount a proposal if it seems strange or alien to customary ways of thinking. The physicists of fifty years ago might be shocked at some of these proposals, but the physicists of the twenty-first century are very comfortable with them. Of course, any idea in physics, to be considered viable, must be confirmed by experiment. When a physical theory does, it does not matter at all how seemingly strange it is.The author of this book has given an interesting discussion of the hierarchy problem for the general reader, and has included the necessary background in elementary particle physics that puts the problem in context. Since the book is written for a general reader, the author refrains from using mathematical language. The conceptual compression involved in using mathematics is therefore lost in the book, but the author tries very hard, and succeeds, in explaining difficult concepts in physics to readers who have a real thirst for understanding them (there are however \math notes\"" at the end of the book). The author has made original contributions to the understanding the hierarchy problem",,which is a particular type of five-dimensional curved geometry that is bounded by two (three-dimensional) branes. On one of these branes,
0.0,"If you read one you will certainly one to read them all, the story holds your interest all the way to the end.",06/08/2013 0:00,The Black Magician Trilogy,5.0
0.0,I am very much enjoying this book.,08/29/2015 0:00,Five Stars,5.0
1.0,Liked the writing AND the fair and balanced approach.  A little confusing to follow as the author skips from one subject to another.,02/09/2014 0:00,Fascinating Book,4.0
0.0,Good writing as usual for Martin but it would be much better to know from the beginning that this book would be split into two books. I got a little bored with too much detail and not enough story,04/10/2013 0:00,Too much detail and not enough story,4.0
,"My 5 year old has been giving me such a hard time lately.  When I saw the title of this book in the library, I checked it out and brought it home.  I was not expecting much because I am not a big fan of the actress, but when I read it, I started to cry!  It gave me a completely new perspective of my little girl's behavior.  I realized the stress that this big transition in life is putting on her.  Besides the character being the opposite sex, he was experiencing the exact problems of my daughter.  He even had a baby sibling like she does.  She related to him right away, and both of us felt much better.  That night, she was giving me a hard time, so I scolded her.  She told me, \Yes",," I still had to give it 5 stars!""",
0.0,"Great book and seller, thank you!",08/31/2015 0:00,Five Stars,5.0
0.0,Interesting story and good information.,08/26/2015 0:00,Four Stars,4.0
0.0,this book talks about the reaching out of punk bands toward the masses and the urban people who are avid listeners of gangsta rap. it's also used by Novoselic as an avenue to express his frustrations with the US government. amazing book!,08/27/2015 0:00,well written book,4.0
2.0,"THE MOST BEAUTIFUL IMAGES FROM THE BIBLE is basically a picture book with selected scenes from the Bible. The illustrations cover two full pages and there is a flap on each page. When the flap are folded over, there is the title of the image, a short description about the image, and a short Bible verse.  The illustrations in this book are gorgeous and when viewing the book, a person realizes why the book is called the most beautiful images from the Bible: these just aren't powerful visual images taken from scripture, but the actual images on these pages are, perhaps some of the most beautiful.  The scenes include:  Adam naming the animals, Noah building the ark, Abraham receiving his covenant from God, Moses drawing water from a rock, Ruth speaking with Naomi, Samuel receiving his prophetic calling, David killing Goliath, a young Jeremiah watching a potter at his wheel, Daniel in the lion's den, Jonah thrown overboard, a shepherd carrying an injured lamb, the birth of Jesus, Jesus being baptized by John, Jesus teaching children, Jesus asleep during the storm at sea, Jesus' entry into Jerusalem, the Last Supper, Jesus being mocked by soldiers, the empty tomb, and the moment after Jesus' ascension. My favorite picture in the book is the one with Jonah: it shows the ship moving away from him and beneath the now calming waters, you can see the outline of a giant fish. THE MOST BEAUTIFUL IMAGES FROM THE BIBLE makes a wonderful book to share with young children at night or to be used as a tool for teaching during Sunday school.",08/29/2015 0:00,Beautiful Illustrations,5.0
0.0,You can not go wrong with Sandra Boynton books,08/28/2015 0:00,Cute,5.0
7.0,"Islands In The Sky is certainly not on par with such later Clarke masterpieces as 2001 or Rendezvous With Rama, nor is it intended to be. This very, very early Clarke novel is just about the only work in his entire canon that seems to have been written with the teen audience in mind. The protagonist is of the &quot;coming of age&quot; age that is commonly featured in such stories, and Clarke uses this to narrarate the story in a slightly condescending, naive tone that is appropriate for such a character. It's quite different for Clarke, who usually writes in such a philosophical, poetic style. It reminds a lot of Robert A. Heinlein's many excellent juvenile novels. As such, this book, while far from being Clarke's best work, this book serves as an excellent introduction to Arthur C. Clarke's incomparable canon, or to the wonderful world of science fiction.",01/09/2002 0:00,Good fun,4.0
0.0,"What a GREAT read!!! Suspenseful, funny, happy & sad all at the same time!!!  I got to about page 150, & then couldn't put it down! Had to read the last 200 pages straight through in one sitting! Loved the characters, hated the villains....it was ALL good!!  I'll be reading it again, just to catch all the juicy tidbits from this talented author!!!!  Can't wait for a &#34;prequel&#34; or a sequel!!!!",08/31/2015 0:00,"Couldn't Put It Down, GREAT READ!!!",5.0
0.0,Great.,08/28/2015 0:00,Five Stars,5.0
1.0,"Hot news flash--this is the TEACHER'S book, i.e. with the answers. It doesn't say that anywhere in the item description. It's our first week of homeschool co-op and my daughter has the wrong book. I also can't find the right book &#34;Daily Language Review: Common Core Edition, Grade 8 - Student Book&#34; on your site, though I did find it on another site. Unfortunately, they don't have 2-day Prime shipping. Fail.",08/31/2015 0:00,You should make it clear that this is a TEACHER's book!,2.0
1.0,I am enjoying getting familiar with the King James Bible again...grew up with that version.,08/29/2015 0:00,Five Stars,5.0
,"It probably helps that I own a \bonnie wee bitch\"" of a border collie myself",,but more importantly,
7.0,"This is the heart-breaking story of an overly zealous, misguided missionary who sincerely felt he was doing the Lord's work in the Congo.  He put his entire family at risk while he tried to jam what he felt was the Lord's will for these people down their throats.  This tale is also political in that it shows, in no uncertain terms, the negative role the United States played just when the Congolese were attempting to achieve independence from Belgium.  Shame on us for thinking we're the saviour of the world, and thanks to Barbara Kingsolver for her courage in the writing of this book!  The most dramatic and heart-rending moment for me was when the youngest daughter was bitten by the deadly mamba snake (probably the deadliest snake in the world), and died very soon afterwards.  The missionary father eventually descends into a world of madness, and the mother and remaining daughters leave for the states.  It is a story that is still with me, months after having read it.  Not for the Danielle Steel crowd, but definitely for those who appreciate fine literature.",12/28/2000 0:00,ONE OF THE FINEST NOVELS OF OUR TIME!,5.0
0.0,"Don't understand a single bit of the math, but his comments on perturbations were good.",08/28/2015 0:00,Adventures?,4.0
0.0,"I would've loved to give this a 5 star, although the book was delivered on time, when I opened up the package I took out my book expecting to see a &#34;great condition book&#34; like it specified before purchasing, and I see all the pages From the bottom edges have some kind with of sticky oily stuff 😠",08/26/2015 0:00,I would've loved to give this a 5 star,3.0
0.0,"This book has a way of reaching the reader's heart and soul as you connect on a fun, memorable game you  are very familiar with. The spiritual applications drive home the life principles to apply to daily life. This creative, fun and profound work is a must read! It is such an inspiration and all can and will connect with it. A must read . Get one for yourself, and for someone you love. Don't miss out on this beautiful book.",08/26/2015 0:00,Your Heart Will Smile ...,5.0
1.0,"After reading INDELIBLE by Karin Slaughter, I will have now read all of her novels. I realized after reading that I always liked the character Jeffrey Toliver, because he seemed to be the only normal character of the bunch. Well, not after reading this book. It is Tolliver's turn to have his sordid, twisted past revealed. The novel opens with a horrific shootout at the police station where kids are taken hostage and cops are killed.With the hostages in a standoff, the story skips back in time to when Jeffrey and Sarah Linton were dating just a few months. They take a vacation, but on the way, Jeffrey takes him to his home town, a place he hasn't been in years. At first, this part of the novel dragged on compared to the excitement of the hostage situation, but soon, Jeffrey's childhood friends are involved in murder, and Sarah is there to do the autopsy. The rest of the novel is primarily set in the past, where Jeffrey and all his friends seem to have secrets.I didn't really like the skewering of Tolliver. Slaughter really is hard on her characters, almost to a point where it is unrealistic. I mean, does EVERY SINGLE CHARACTER have to be self-destructive. This holds true for her future novels as well. In this novel, Jeffrey seems to crumble at the prospects of facing his own past. Lena is in the clutches of a boy ten years younger than her. Sarah is easily swayed by others' opinion Jeffrey. No one seems to be able to stand up and just do the right thing.This novel almost has too much drama for me. But, I liked it. I'm familiar with the characters, and enjoy following them from book to book. With this novel, I finally have the complete picture.",02/06/2013 0:00,Why does every character have to be so self-destructive?,2.0
0.0,"Note:  I read a paperback version of this book.  I have no idea what all the different paperback versions listed on Amazon are.  No idea if mine was a &#34;revised&#34; edition or not.  So I'm just going to post this review on all the versions listed, maybe somebody will come along later and straighten me out.  The other thing that seems odd is the price on Amazon, it (at the time of this writing) seems really high ($38 for a paperback?)...  Maybe that'll get straightened out as well.<br /><br />My review:<br />One of the most enjoyable reads I've had in quite a while.  Reasonably fast paced without that &#34;must have action every x pages&#34; that some books tend towards.<br /><br />Despite not being a big Military SF fan I tend to read a fair amount of them...  They tend to have linear story lines, conclusive plots, and characters under stress.  All things I like.  On the bad side, they often tend to lack solid characters and realistic outcomes.  Often times the views of military life are overly simplistic.  This book has all those good points and none of the bad.<br /><br />No real spoilers below, but I do mention specific features of the book, be warned...<br /><br />I am particularly impressed by how the protagonist gets bounced around by the giant bureaucracy (very like my experiences) but manages, by applying what little pressure he has at the right times, to end up in more desirable (to him) positions.  Realistic enough that it brought a wave of nostalgia to my mind.  I assume Mr. Kloos is writing from experience.<br /><br />About the only faults I found in this novel are of the nit picky variety.  While the descriptions of combat equipment (and tactics) are quite solid seeming to me, and basically all the technology in the early parts of the book.  Some of the later parts are a bit less so, just as an example:  Escaping from a damaged spaceship there is a specific lack of emergency vacuum survival suits.  The technology on display everywhere else would surely lend itself to cheap single use plastic + small replaceable can of air suits.  Hard to move in, fragile as heck, maybe mostly useless but... Nothing?  There's a few other spots, none critical to the plot, and none worth knocking off even a tenth of a star.<br /><br />Bottom line:  Good book, worth a read.",08/29/2015 0:00,One of the most enjoyable reads I've had in quite a while.  Solidly entertaining.,5.0
1.0,"Go Forth and Get a Job! is a clear, concise, and information-filled book that is valuable to all college graduates and career services advisors.  Beyond that, it's also a very good resource for anyone who may be thinking of changing jobs or out of work and needs a refresher in effective job search techniques.  It's very well written and comprehensive.",08/31/2015 0:00,Great job search resource!,5.0
0.0,"By accident, I have lately been reading mystery novels in which the writers have used the distant past as part of the settings for their plots. Tess Gerritsen's &#34;The Bone Garden&#34; reached back to early 19th Century Boston. Lisa Scottoline's &#34;The Vendetta Defense&#34; used Mussolini-era Italy as a backdrop for most of that work. In &#34;Killer Smile&#34;, Scottoline once again skips back through the decades, this time to the internment camps for Italians that existed contemporaneous with the Japanese camps during WWII. To me, this was the most successful of the three novels.Part of the reason for why I feel this was the most successful was that Mary DiNunzio has more at stake here and more closeness to the events than the protagonists of the &#34;The Bone Garden&#34; or even in Scottoline's &#34;The Vendetta Defense&#34;. Her psychology rings true. She is still grieving, though to a lesser degree, for the loss of her husband. This makes her vulnerable to the plight of a young Italian man,  Amadeo Brandolino, who lost his beloved wife during his incarceration at an internment camp. This leads to his alleged suicide. Mary's grief ties in with Amadeo's to the point where she imagines she can hear his cries and pleas. This was as convincing as it was heartbreaking and haunting.Another element that helped the novel was the depiction of the elderly and their own ties to the past. The residents of Montana who had interracted with the Italian detainees have their own stories and secrets. All this created a melancholy texture to a mystery that was, in its own right, credible and engaging.",12/17/2013 0:00,Looking Back with Sorrow and Anger,5.0
0.0,"I absolutely love this book, It's a great Classic!I've read it several times and had to purchase it on my Kindle so I will have it with me all the time.",05/29/2014 0:00,Classic,5.0
1.0,Amused 2 intelligent 15 year-old boys for nearly an hour.,08/26/2015 0:00,Entertaining,5.0
